x,y,sensor_value,acc_weight,acc_weight_reading,confidence,acc_variance,variance
0.0,300.0,0.24,2.4782398984170455e-07,1.3761134232997963e-08,0.0012267185918005685,6.2787550609702916e-12,0.14
0.0,350.0,0.24,2.516848992565667e-07,1.3993740922738394e-08,0.00126521464027618,6.1881109583652865e-12,0.14
0.0,400.0,0.24,2.586371220378356e-07,1.4450988259028356e-08,0.001336030012421996,5.875595987472696e-12,0.14
0.0,450.0,0.24,2.7343353387124256e-07,1.542382611110734e-08,0.0014931515450437027,5.3317605129109575e-12,0.14
0.0,500.0,0.24,3.013990249370481e-07,1.7234031197237188e-08,0.0018139039087604614,4.5764834766505075e-12,0.14
0.0,550.0,0.24,3.4912020124967787e-07,2.0266218468036242e-08,0.0024330210773826355,3.680402147173826e-12,0.13
0.0,600.0,0.24,4.236846307453253e-07,2.492196527305909e-08,0.003581223103947706,2.756289025114543e-12,0.13
0.0,650.0,0.24,5.296879424077235e-07,3.1449629744900095e-08,0.00559175165337511,1.9254471143281826e-12,0.13
0.0,700.0,0.24,6.652930290938883e-07,3.971961261413526e-08,0.008807065649253598,1.2863152485336996e-12,0.13
0.0,750.0,0.24,8.204101787357467e-07,4.9122153362601306e-08,0.013361926015294623,9.161646264916573e-13,0.13
0.0,800.0,0.24,9.796269479850023e-07,5.874542849915201e-08,0.018997130899265913,9.302545902300036e-13,0.13
0.0,850.0,0.24,1.129830967234532e-06,6.783857590687679e-08,0.025189731980450047,1.6269274521135096e-12,0.13
0.0,900.0,0.24,1.2701670188294176e-06,7.643083013439084e-08,0.03172952668572637,3.767046739496088e-12,0.13
0.0,950.0,0.24,1.4224668781021984e-06,8.600653908293386e-08,0.039633032016330505,9.035471137190793e-12,0.13
0.0,1000.0,0.24,1.6418080633028365e-06,1.0021365898575796e-07,0.052447371667288856,2.062915020650471e-11,0.13
0.0,1050.0,0.24,2.0240740987971873e-06,1.2538228241088694e-07,0.07861743926891329,4.3637796518689734e-11,0.12
0.0,1100.0,0.24,2.6985814426733722e-06,1.7005148600440167e-07,0.13544859302972412,8.450766042865463e-11,0.12
0.0,1150.0,0.23,3.787782550988177e-06,2.423161998299566e-07,0.24929636926320775,1.4878585157117336e-10,0.1
